************* START OF RANDOM TEST FOR smithy card *************

Test#0 Expected 6 handcount, found 7 handcount for input: handCount: 4, deckCount: 15, discardCount: 107
Test#1 Expected 12 handcount, found 13 handcount for input: handCount: 10, deckCount: 3, discardCount: 23
Test#2 Expected 3 handcount, found 4 handcount for input: handCount: 1, deckCount: 29, discardCount: 48
Test#3 Expected 3 handcount, found 4 handcount for input: handCount: 1, deckCount: 112, discardCount: 213
Test#4 Expected 96 handcount, found 97 handcount for input: handCount: 94, deckCount: 41, discardCount: 35
Test#5 Expected 8 handcount, found 9 handcount for input: handCount: 6, deckCount: 52, discardCount: 137
Test#6 Expected 5 handcount, found 6 handcount for input: handCount: 3, deckCount: 47, discardCount: 0
Test#7 Expected 5 handcount, found 6 handcount for input: handCount: 3, deckCount: 16, discardCount: 9
Test#8 Expected 12 handcount, found 13 handcount for input: handCount: 10, deckCount: 8, discardCount: 21
Test#9 Expected 3 handcount, found 4 handcount for input: handCount: 1, deckCount: 18, discardCount: 27
Test#10 Expected 469 handcount, found 470 handcount for input: handCount: 467, deckCount: 47, discardCount: 389
Test#11 Expected 9 handcount, found 10 handcount for input: handCount: 7, deckCount: 10, discardCount: 19
Test#12 Expected 404 handcount, found 405 handcount for input: handCount: 402, deckCount: 10, discardCount: 28
Test#13 Expected 279 handcount, found 280 handcount for input: handCount: 277, deckCount: 5, discardCount: 38
Test#14 Expected 182 handcount, found 183 handcount for input: handCount: 180, deckCount: 487, discardCount: 0
Test#15 Expected 10 handcount, found 11 handcount for input: handCount: 8, deckCount: 44, discardCount: 229
Test#16 Expected 230 handcount, found 231 handcount for input: handCount: 228, deckCount: 45, discardCount: 26
Test#17 Expected 11 handcount, found 12 handcount for input: handCount: 9, deckCount: 26, discardCount: 42
Test#18 Expected 11 handcount, found 12 handcount for input: handCount: 9, deckCount: 30, discardCount: 19
Test#19 Expected 6 handcount, found 7 handcount for input: handCount: 4, deckCount: 19, discardCount: 37
Test#20 Expected 12 handcount, found 13 handcount for input: handCount: 10, deckCount: 66, discardCount: 302
Test#21 Expected 4 handcount, found 5 handcount for input: handCount: 2, deckCount: 18, discardCount: 34
Test#22 Expected 8 handcount, found 9 handcount for input: handCount: 6, deckCount: 35, discardCount: 11
Test#23 Expected 7 handcount, found 8 handcount for input: handCount: 5, deckCount: 6, discardCount: 21
Test#24 Expected 3 handcount, found 4 handcount for input: handCount: 1, deckCount: 15, discardCount: 22
Test#25 Expected 341 handcount, found 342 handcount for input: handCount: 339, deckCount: 289, discardCount: 7
Test#26 Expected 56 handcount, found 57 handcount for input: handCount: 54, deckCount: 150, discardCount: 78
Test#27 Expected 12 handcount, found 13 handcount for input: handCount: 10, deckCount: 483, discardCount: 13
Test#28 Expected 329 handcount, found 330 handcount for input: handCount: 327, deckCount: 2, discardCount: 11
Test#29 Expected 11 handcount, found 12 handcount for input: handCount: 9, deckCount: 253, discardCount: 154
Test#30 Expected 9 handcount, found 10 handcount for input: handCount: 7, deckCount: 48, discardCount: 2
Test#31 Expected 3 handcount, found 4 handcount for input: handCount: 1, deckCount: 166, discardCount: 228
Test#32 Expected 5 handcount, found 6 handcount for input: handCount: 3, deckCount: 27, discardCount: 3
Test#33 Expected 291 handcount, found 292 handcount for input: handCount: 289, deckCount: 46, discardCount: 39
Test#34 Expected 222 handcount, found 223 handcount for input: handCount: 220, deckCount: 5, discardCount: 7
Test#35 Expected 4 handcount, found 5 handcount for input: handCount: 2, deckCount: 362, discardCount: 69
Test#36 Expected 4 handcount, found 5 handcount for input: handCount: 2, deckCount: 99, discardCount: 253
Test#37 Expected 11 handcount, found 12 handcount for input: handCount: 9, deckCount: 33, discardCount: 4
Test#38 Expected 10 handcount, found 11 handcount for input: handCount: 8, deckCount: 251, discardCount: 55
Test#39 Expected 265 handcount, found 266 handcount for input: handCount: 263, deckCount: 34, discardCount: 40
Test#40 Expected 7 handcount, found 8 handcount for input: handCount: 5, deckCount: 42, discardCount: 9
Test#41 Expected 286 handcount, found 287 handcount for input: handCount: 284, deckCount: 218, discardCount: 116
Test#42 Expected 11 handcount, found 12 handcount for input: handCount: 9, deckCount: 46, discardCount: 13
Test#43 Expected 11 handcount, found 12 handcount for input: handCount: 9, deckCount: 42, discardCount: 9
Test#44 Expected 12 handcount, found 13 handcount for input: handCount: 10, deckCount: 42, discardCount: 35
Test#45 Expected 8 handcount, found 9 handcount for input: handCount: 6, deckCount: 97, discardCount: 246
Test#46 Expected 84 handcount, found 85 handcount for input: handCount: 82, deckCount: 41, discardCount: 47
Test#47 Expected 7 handcount, found 8 handcount for input: handCount: 5, deckCount: 367, discardCount: 69
Test#48 Expected 284 handcount, found 285 handcount for input: handCount: 282, deckCount: 137, discardCount: 337
Test#49 Expected 45 handcount, found 46 handcount for input: handCount: 43, deckCount: 18, discardCount: 4
Test#50 Expected 5 handcount, found 6 handcount for input: handCount: 3, deckCount: 5, discardCount: 33
Test#51 Expected 4 handcount, found 5 handcount for input: handCount: 2, deckCount: 321, discardCount: 165
Test#52 Expected 379 handcount, found 380 handcount for input: handCount: 377, deckCount: 21, discardCount: 49
Test#53 Expected 449 handcount, found 450 handcount for input: handCount: 447, deckCount: 10, discardCount: 39
Test#54 Expected 12 handcount, found 13 handcount for input: handCount: 10, deckCount: 80, discardCount: 71
Test#55 Expected 8 handcount, found 9 handcount for input: handCount: 6, deckCount: 21, discardCount: 25
Test#56 Expected 7 handcount, found 8 handcount for input: handCount: 5, deckCount: 15, discardCount: 17
Test#57 Expected 133 handcount, found 134 handcount for input: handCount: 131, deckCount: 39, discardCount: 46
Test#58 Expected 5 handcount, found 6 handcount for input: handCount: 3, deckCount: 45, discardCount: 2
Test#59 Expected 4 handcount, found 5 handcount for input: handCount: 2, deckCount: 43, discardCount: 33
Test#60 Expected 4 handcount, found 5 handcount for input: handCount: 2, deckCount: 10, discardCount: 3
Test#61 Expected 10 handcount, found 11 handcount for input: handCount: 8, deckCount: 13, discardCount: 11
Test#62 Expected 6 handcount, found 7 handcount for input: handCount: 4, deckCount: 23, discardCount: 25
Test#63 Expected 5 handcount, found 6 handcount for input: handCount: 3, deckCount: 39, discardCount: 36
Test#64 Expected 12 handcount, found 13 handcount for input: handCount: 10, deckCount: 337, discardCount: 129
Test#65 Expected 9 handcount, found 10 handcount for input: handCount: 7, deckCount: 45, discardCount: 1
Test#66 Expected 6 handcount, found 7 handcount for input: handCount: 4, deckCount: 21, discardCount: 24
Test#67 Expected 4 handcount, found 5 handcount for input: handCount: 2, deckCount: 36, discardCount: 35
Test#68 Expected 127 handcount, found 128 handcount for input: handCount: 125, deckCount: 455, discardCount: 34
Test#69 Expected 12 handcount, found 13 handcount for input: handCount: 10, deckCount: 40, discardCount: 17
Test#70 Expected 76 handcount, found 77 handcount for input: handCount: 74, deckCount: 224, discardCount: 5
Test#71 Expected 3 handcount, found 4 handcount for input: handCount: 1, deckCount: 37, discardCount: 14
Test#72 Expected 348 handcount, found 349 handcount for input: handCount: 346, deckCount: 493, discardCount: 3
Test#73 Expected 171 handcount, found 172 handcount for input: handCount: 169, deckCount: 27, discardCount: 22
Test#74 Expected 7 handcount, found 8 handcount for input: handCount: 5, deckCount: 447, discardCount: 0
Test#75 Expected 321 handcount, found 322 handcount for input: handCount: 319, deckCount: 18, discardCount: 39
Test#76 Expected 9 handcount, found 10 handcount for input: handCount: 7, deckCount: 24, discardCount: 19
Test#77 Expected 374 handcount, found 375 handcount for input: handCount: 372, deckCount: 45, discardCount: 13
Test#78 Expected 10 handcount, found 11 handcount for input: handCount: 8, deckCount: 20, discardCount: 48
Test#79 Expected 455 handcount, found 456 handcount for input: handCount: 453, deckCount: 14, discardCount: 22
Test#80 Expected 96 handcount, found 97 handcount for input: handCount: 94, deckCount: 19, discardCount: 23
Test#81 Expected 158 handcount, found 159 handcount for input: handCount: 156, deckCount: 29, discardCount: 38
Test#82 Expected 12 handcount, found 13 handcount for input: handCount: 10, deckCount: 6, discardCount: 46
Test#83 Expected 444 handcount, found 445 handcount for input: handCount: 442, deckCount: 2, discardCount: 35
Test#84 Expected 10 handcount, found 11 handcount for input: handCount: 8, deckCount: 14, discardCount: 16
Test#85 Expected 7 handcount, found 8 handcount for input: handCount: 5, deckCount: 37, discardCount: 32
Test#86 Expected 6 handcount, found 7 handcount for input: handCount: 4, deckCount: 277, discardCount: 215
Test#87 Expected 142 handcount, found 143 handcount for input: handCount: 140, deckCount: 149, discardCount: 38
Test#88 Expected 180 handcount, found 181 handcount for input: handCount: 178, deckCount: 12, discardCount: 38
Test#89 Expected 3 handcount, found 4 handcount for input: handCount: 1, deckCount: 0, discardCount: 19
Test#90 Expected 12 handcount, found 13 handcount for input: handCount: 10, deckCount: 148, discardCount: 130
